sample	round	prj	nCtg	nPath	cov	signal	annotatedRatio
rand.39	3	Sardi_Zika_2016_mock	219	1	4.14750781681074	0.565943029238298	87.4935322252931
rand.4	3	Sardi_Zika_2016_mock	166	0	0	0	84.3803621703567
rand.40	3	Sardi_Zika_2016_mock	132	10	88.486297590583	18.3604930733122	81.264023934181
rand.41	3	Sardi_Zika_2016_mock	384	0	0	0	86.2968681388728
rand.42	3	Sardi_Zika_2016_mock	204	1	98.5194040831341	12.3111044714373	88.9536864728855
rand.43	3	Sardi_Zika_2016_mock	271	9	81.0373367665992	8.3999008636303	83.1092471954544
rand.44	3	Sardi_Zika_2016_mock	79	1	98.5102078352032	28.2967032967033	90.9998526377837
rand.45	3	Sardi_Zika_2016_mock	324	2	6.06952363435718	0.570465447945028	86.6797061763811
rand.46	3	Sardi_Zika_2016_mock	195	1	99.4298326282877	10.2335002318912	88.2930378211955
rand.47	3	Sardi_Zika_2016_mock	157	1	98.5194040831341	12.0962005306837	93.5775574166367
