sample	project	Mix	gatkReads	asmRef	asmFrag	asmPathogenFrag	asmCov	asmSignal	Virus	CleanSizeRNA	CleanSizeDNA
Zhang_Dengue_2021.Mix6.rand.72	Zhang_Dengue_2021	6	226418	q	1374	1	100	1.17230431066064	Dengue	1765515	0
Zhang_Dengue_2021.Mix8.rand.54	Zhang_Dengue_2021	8	160310	q	1817	1	100	0.749820076655713	Dengue	3134097	0
Zhang_Dengue_2021.Mix4.rand.97	Zhang_Dengue_2021	4	117028	q	431	1	100	4.74565797894644	Dengue	1677724	0
Zhang_Dengue_2021.Mix8.rand.38	Zhang_Dengue_2021	8	215838	q	1397	1	100	1.12512262702269	Dengue	3931491	0
Zhang_Dengue_2021.Mix8.rand.15	Zhang_Dengue_2021	8	171673	q	1862	1	100	0.741812780781462	Dengue	3404239	0
Zhang_Dengue_2021.Mix8.rand.25	Zhang_Dengue_2021	8	136943	q	2026	2	100	0.661432219760886	Dengue	3282066	0
Zhang_Dengue_2021.Mix4.rand.53	Zhang_Dengue_2021	4	34284	q	397	2	99.7380540830743	5.54183927522597	Dengue	1080477	0
Zhang_Dengue_2021.Mix3.rand.88	Zhang_Dengue_2021	3	95471	q	371	2	100	5.83820302826233	Dengue	1295897	0
Zhang_Dengue_2021.Mix4.rand.84	Zhang_Dengue_2021	4	90822	q	946	3	100	1.79149083733015	Dengue	744690	0
Zhang_Dengue_2021.Mix7.rand.61	Zhang_Dengue_2021	7	82826	q	1994	6	100	0.691414957354611	Dengue	2950608	0
Zhang_Dengue_2021.Mix7.rand.55	Zhang_Dengue_2021	7	85722	q	1383	3	100	1.13453115298794	Dengue	3356196	0
Zhang_Dengue_2021.Mix5.rand.55	Zhang_Dengue_2021	5	37416	q	1227	5	100	1.34192874245714	Dengue	1131086	0
Zhang_Dengue_2021.Mix9.rand.22	Zhang_Dengue_2021	9	116173	q	2025	4	100	0.688933555535767	Dengue	3488701	0
Zhang_Dengue_2021.Mix10.rand.72	Zhang_Dengue_2021	10	165651	q	1659	3	100	0.864674486067446	Dengue	4097566	0
Zhang_Dengue_2021.Mix6.rand.17	Zhang_Dengue_2021	6	75730	q	1313	5	100	1.33505857684597	Dengue	3050623	0
Zhang_Dengue_2021.Mix4.rand.73	Zhang_Dengue_2021	4	69063	q	1140	3	100	1.47957758436536	Dengue	1771484	0
Zhang_Dengue_2021.Mix5.rand.48	Zhang_Dengue_2021	5	89729	q	1758	3	100	0.790880021025888	Dengue	1739856	0
Zhang_Dengue_2021.Mix5.rand.92	Zhang_Dengue_2021	5	73251	q	1354	2	100	1.18310361569941	Dengue	1880191	0
Zhang_Dengue_2021.Mix5.rand.96	Zhang_Dengue_2021	5	108418	q	1538	1	100	0.946007534978171	Dengue	2388818	0
Zhang_Dengue_2021.Mix7.rand.69	Zhang_Dengue_2021	7	194554	q	1732	1	100	0.847629070969255	Dengue	3337935	0
Zhang_Dengue_2021.Mix9.rand.81	Zhang_Dengue_2021	9	205032	q	1660	3	100	0.877682975065183	Dengue	3201223	0
Zhang_Dengue_2021.Mix2.rand.27	Zhang_Dengue_2021	2	6198	q	763	3	97.8577904693349	2.25852208325507	Dengue	1071694	0
Zhang_Dengue_2021.Mix2.rand.16	Zhang_Dengue_2021	2	26289	q	768	1	100	2.23705423895883	Dengue	815125	0
Zhang_Dengue_2021.Mix7.rand.12	Zhang_Dengue_2021	7	205814	q	1529	1	100	0.911287685427806	Dengue	3103805	0
Zhang_Dengue_2021.Mix2.rand.1	Zhang_Dengue_2021	2	6227	q	1332	5	99.279735166105	1.06305403916462	Dengue	1322009	0
Zhang_Dengue_2021.Mix9.rand.52	Zhang_Dengue_2021	9	213587	q	1764	1	100	0.833152544474059	Dengue	3885115	0
Zhang_Dengue_2021.Mix4.rand.61	Zhang_Dengue_2021	4	55042	q	1537	3	100	1.02746095161978	Dengue	1246772	0
Zhang_Dengue_2021.Mix9.rand.41	Zhang_Dengue_2021	9	189330	q	1933	1	100	0.717136747308899	Dengue	3948487	0
Zhang_Dengue_2021.Mix2.rand.20	Zhang_Dengue_2021	2	56544	q	824	1	99.616427069225	1.95782468010001	Dengue	357231	0
Zhang_Dengue_2021.Mix5.rand.30	Zhang_Dengue_2021	5	35024	q	1102	1	100	1.46022415913063	Dengue	2253224	0
Zhang_Dengue_2021.Mix4.rand.2	Zhang_Dengue_2021	4	138050	q	1200	2	100	1.43100429540587	Dengue	940963	0
