virus	length	Expect_errors	Actual_error	expected_Escape_blast	expected_Escape_bowtie
SARS_cov_2	150	5	30	0	0
SARS_cov_2	150	6	0	5	0
SARS_cov_2	150	6	1	122	0
SARS_cov_2	150	6	2	1733	0
SARS_cov_2	150	6	3	14837	0
SARS_cov_2	150	6	4	83637	58
SARS_cov_2	150	6	5	486178	4210
SARS_cov_2	150	6	6	2385039	2962606
SARS_cov_2	150	6	7	0	55
SARS_cov_2	150	6	8	0	9
SARS_cov_2	150	6	9	0	0
SARS_cov_2	150	6	10	0	0
SARS_cov_2	150	6	11	0	0
SARS_cov_2	150	6	12	0	0
SARS_cov_2	150	6	13	0	0
SARS_cov_2	150	6	14	0	0
SARS_cov_2	150	6	15	0	0
SARS_cov_2	150	6	16	0	0
SARS_cov_2	150	6	17	0	0
SARS_cov_2	150	6	18	0	0
SARS_cov_2	150	6	19	0	0
SARS_cov_2	150	6	20	0	0
SARS_cov_2	150	6	21	0	0
SARS_cov_2	150	6	22	0	0
SARS_cov_2	150	6	23	0	0
SARS_cov_2	150	6	24	0	0
SARS_cov_2	150	6	25	0	0
SARS_cov_2	150	6	26	0	0
SARS_cov_2	150	6	27	0	0
SARS_cov_2	150	6	28	0	0
SARS_cov_2	150	6	29	0	0
SARS_cov_2	150	6	30	0	0
SARS_cov_2	150	7	0	3	0
SARS_cov_2	150	7	1	35	0
SARS_cov_2	150	7	2	455	0
SARS_cov_2	150	7	3	3800	0
SARS_cov_2	150	7	4	24389	1
SARS_cov_2	150	7	5	111040	93
SARS_cov_2	150	7	6	539981	6739
SARS_cov_2	150	7	7	2273551	2934262
SARS_cov_2	150	7	8	0	128
SARS_cov_2	150	7	9	0	10
SARS_cov_2	150	7	10	0	0
SARS_cov_2	150	7	11	0	0
SARS_cov_2	150	7	12	0	0
SARS_cov_2	150	7	13	0	0
SARS_cov_2	150	7	14	0	0
SARS_cov_2	150	7	15	0	0
SARS_cov_2	150	7	16	0	0
SARS_cov_2	150	7	17	0	0
SARS_cov_2	150	7	18	0	0
SARS_cov_2	150	7	19	0	0
SARS_cov_2	150	7	20	0	0
SARS_cov_2	150	7	21	0	0
SARS_cov_2	150	7	22	0	0
SARS_cov_2	150	7	23	0	0
SARS_cov_2	150	7	24	0	0
SARS_cov_2	150	7	25	0	0
SARS_cov_2	150	7	26	0	0
SARS_cov_2	150	7	27	0	0
SARS_cov_2	150	7	28	0	0
SARS_cov_2	150	7	29	0	0
SARS_cov_2	150	7	30	0	0
SARS_cov_2	150	8	0	0	0
SARS_cov_2	150	8	1	8	0
SARS_cov_2	150	8	2	121	0
SARS_cov_2	150	8	3	1138	0
SARS_cov_2	150	8	4	7114	0
SARS_cov_2	150	8	5	36434	3
SARS_cov_2	150	8	6	138891	180
SARS_cov_2	150	8	7	584043	10555
SARS_cov_2	150	8	8	2137105	2874510
SARS_cov_2	150	8	9	0	218
SARS_cov_2	150	8	10	0	23
SARS_cov_2	150	8	11	0	2
SARS_cov_2	150	8	12	0	0
SARS_cov_2	150	8	13	0	0
SARS_cov_2	150	8	14	0	0
SARS_cov_2	150	8	15	0	0
SARS_cov_2	150	8	16	0	0
SARS_cov_2	150	8	17	0	0
SARS_cov_2	150	8	18	0	0
SARS_cov_2	150	8	19	0	0
SARS_cov_2	150	8	20	0	0
SARS_cov_2	150	8	21	0	0
SARS_cov_2	150	8	22	0	0
SARS_cov_2	150	8	23	0	0
SARS_cov_2	150	8	24	0	0
SARS_cov_2	150	8	25	0	0
SARS_cov_2	150	8	26	0	0
SARS_cov_2	150	8	27	0	0
SARS_cov_2	150	8	28	0	0
SARS_cov_2	150	8	29	0	0
SARS_cov_2	150	8	30	0	0
